symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
GOCLCORP,EQ,344.5,413.0,344.5,406.8,404.9,904088,2022-12-19,0.18084176427567125
SREIBNPNCD,NW,153.0,179.9,153.0,179.8,179.85,285,2022-12-19,0.17516341863893994
PROZONINTU,EQ,28.0,33.0,28.0,32.55,32.7,5531351,2022-12-19,0.16249997275216238
SUNFLAG,EQ,95.0,109.9,95.0,107.55,109.5,3052908,2022-12-19,0.13210529528166118
LSIL,EQ,15.25,17.65,15.2,17.25,17.65,31925725,2022-12-19,0.13114754098360656
SPECIALITY,EQ,199.95,233.4,199.95,226.1,227.5,1049492,2022-12-19,0.13078274345781793
PILITA,EQ,8.05,9.25,8.05,9.1,9.05,2966407,2022-12-19,0.130434803211975
MARATHON,EQ,244.45,287.8,242.4,276.25,278.9,383424,2022-12-19,0.13008796665475467
GICRE,EQ,166.65,192.85,165.65,187.35,185.15,24225026,2022-12-19,0.12421249904088916
SILINV,EQ,349.75,407.7,342.5,392.1,396.05,58989,2022-12-19,0.1210865078013313
MIRCELECTR,EQ,17.85,20.8,17.6,20.0,20.0,6051924,2022-12-19,0.12044815532677583
DALMIASUG,EQ,374.7,440.9,374.65,418.8,417.8,2917850,2022-12-19,0.1176940863337126
SIMBHALS,EQ,30.05,33.5,30.05,33.5,33.5,4267087,2022-12-19,0.11480868055013395
GREENPOWER,EQ,11.35,13.25,11.25,12.65,12.65,91970871,2022-12-19,0.11453737386502257
ORTINLAB,EQ,23.45,27.0,22.8,26.1,26.45,649634,2022-12-19,0.11300637664448829
PDMJEPAPER,EQ,45.6,51.5,45.25,50.75,50.95,2553712,2022-12-19,0.11293863373266634
EUROTEXIND,EQ,10.85,12.3,10.85,12.0,12.0,10325,2022-12-19,0.1059907445251625
SPCENET,BE,25.65,28.35,25.65,28.35,28.35,758814,2022-12-19,0.1052631892044512
USHAMART,EQ,133.85,153.7,133.45,147.9,149.0,5554944,2022-12-19,0.10496815205299959
GICHSGFIN,EQ,189.85,212.4,183.05,209.6,211.2,4330691,2022-12-19,0.1040294936268336
FRETAIL,BZ,2.9,3.2,2.9,3.2,3.2,2613727,2022-12-19,0.1034482560174792
SEYAIND,BE,25.15,27.75,25.15,27.75,27.75,39181,2022-12-19,0.10337973840580386
KOTARISUG,EQ,46.05,52.95,46.05,50.65,50.95,7401632,2022-12-19,0.09989147372485355
MASKINVEST,BE,104.6,115.6,104.6,115.0,115.0,14462,2022-12-19,0.09942640227142979
SAKHTISUG,EQ,23.9,28.7,23.8,28.7,28.7,6449909,2022-12-16,0.20083687117248394
RAJSREESUG,EQ,46.8,55.55,46.5,55.55,55.55,931316,2022-12-16,0.18696581501375206
SIMBHALS,EQ,23.7,27.95,23.3,27.95,27.95,789019,2022-12-16,0.17932488874202393
FACT,EQ,228.1,268.55,226.25,268.55,268.55,36991384,2022-12-16,0.17733441739188838
MADRASFERT,EQ,75.55,88.35,75.55,88.35,88.35,25427700,2022-12-16,0.16942415493476892
MAWANASUG,EQ,85.0,101.8,85.0,99.3,100.0,2787897,2022-12-16,0.16823533002068014
RANASUG,EQ,23.3,28.2,23.3,27.1,27.2,14623332,2022-12-16,0.16309018321189334
UGARSUGAR,EQ,87.25,103.45,86.8,101.4,101.85,9903514,2022-12-16,0.16217766791838287
AGROPHOS,EQ,42.85,50.7,42.8,49.5,50.0,1359444,2022-12-16,0.15519257322483035
KCPSUGIND,EQ,25.3,30.5,25.3,29.1,29.2,9793463,2022-12-16,0.15019767822138
MHLXMIRU,EQ,216.0,252.0,213.1,248.35,245.0,375496,2022-12-16,0.1497685467755353
EPL,EQ,168.0,193.4,167.25,191.05,189.3,10841608,2022-12-16,0.13720239911760604
PAVNAIND,SM,210.5,237.7,210.5,237.7,237.7,14400,2022-12-16,0.12921613752134056
SILINV,EQ,310.2,368.0,310.2,347.4,348.0,6804,2022-12-16,0.11992256681352226
GOKUL,EQ,35.75,41.4,34.4,39.9,39.75,2698510,2022-12-16,0.11608395876584353
THEMISMED,EQ,1250.0,1435.25,1230.05,1394.1,1395.0,170385,2022-12-16,0.11527998046875
PONNIERODE,EQ,346.15,408.8,342.25,385.4,389.0,933743,2022-12-16,0.11339015077879115
KOHINOOR,EQ,51.7,58.1,51.7,57.5,56.9,1122195,2022-12-16,0.1121856702411929
AROGRANITE,EQ,44.05,50.95,42.65,48.9,48.8,338111,2022-12-16,0.11010221050668967
NFL,EQ,68.5,79.15,68.15,75.9,78.4,58164120,2022-12-16,0.10802921935589645
EXCEL,BE,0.5,0.55,0.5,0.55,0.5,8270050,2022-12-16,0.10000002384185791
BAJAJHIND,EQ,15.6,17.15,15.6,17.15,17.15,33125996,2022-12-16,0.09935892302295678
VISHWARAJ,EQ,17.2,19.4,17.05,18.8,18.8,7975246,2022-12-16,0.09302316297384026
