symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_q_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
CONCOR, EQ,2022-12-22,747.2,744.0,755.2,737.3,748.5,749.75,747.73,884868,6616.41,22316,368085,41.6
CONFIPET, EQ,2022-12-22,82.65,82.7,84.0,75.25,81.0,81.1,79.14,5602729,4433.97,23479,1826488,32.6
CONSOFINVT, EQ,2022-12-22,127.95,125.5,129.0,125.0,125.0,125.35,126.25,2315,2.92,68,1732,74.82
CONSUMBEES, EQ,2022-12-22,83.8,84.24,84.24,83.06,83.11,83.1,83.55,30615,25.58,455,26722,87.28
CONTI, SM,2022-12-22,19.55,20.25,20.25,18.6,18.6,18.6,18.9,46662,8.82,12,36663,78.57
CONTROLPR, EQ,2022-12-22,391.65,402.0,402.0,375.0,399.4,399.2,391.21,22023,86.16,1794,12870,58.44
COOLCAPS, SM,2022-12-22,261.0,265.5,265.5,265.5,265.5,265.5,265.5,750,1.99,1,750,100.0
CORALFINAC, EQ,2022-12-22,34.7,34.8,35.05,33.1,33.35,33.45,34.03,62708,21.34,658,26656,42.51
CORDSCABLE, EQ,2022-12-22,62.25,63.45,63.9,57.75,58.75,58.45,59.31,90800,53.85,1529,52386,57.69
COROMANDEL, EQ,2022-12-22,913.15,915.0,919.7,882.5,891.0,892.05,896.26,417780,3744.38,29901,198092,47.42
COSMOFIRST, EQ,2022-12-22,730.35,735.5,736.7,703.65,712.75,711.35,712.45,26964,192.11,3516,13150,48.77
COUNCODOS, BE,2022-12-22,5.0,5.0,5.1,4.75,4.75,4.8,4.81,102888,4.95,213,None,None
CPSEETF, EQ,2022-12-22,37.94,38.49,38.49,37.21,37.6,37.55,37.51,521804,195.7,2810,326335,62.54
CRAFTSMAN, EQ,2022-12-22,3244.6,3249.9,3380.75,3192.05,3318.0,3314.75,3301.43,56954,1880.29,12984,19103,33.54
CREATIVE, EQ,2022-12-22,562.45,572.9,572.9,505.1,522.1,525.2,532.21,32763,174.37,730,20375,62.19
CREDITACC, EQ,2022-12-22,908.05,913.35,919.6,875.1,883.15,886.1,899.94,768603,6916.99,5615,325039,42.29
CREDITACC, N5,2022-12-22,1030.0,1032.0,1032.0,1030.0,1030.0,1030.0,1030.08,25,0.26,2,25,100.0
CREDITACC, N6,2022-12-22,999.0,1004.9,1004.9,1004.9,1004.9,1004.9,1004.9,1,0.01,1,1,100.0
CREST, EQ,2022-12-22,203.2,203.5,207.7,186.4,197.55,198.95,197.29,115755,228.38,2835,80744,69.75
CRISIL, EQ,2022-12-22,2819.1,2830.0,2830.0,2763.0,2773.9,2782.0,2781.05,19544,543.53,4456,9140,46.77
CROMPTON, EQ,2022-12-22,349.2,349.9,354.6,346.5,352.6,353.2,351.97,1429916,5032.86,23790,753362,52.69
CROWN, BE,2022-12-22,37.25,37.35,38.95,35.5,37.45,37.45,36.51,3235,1.18,31,None,None
CSBBANK, EQ,2022-12-22,259.65,261.7,262.0,242.4,248.4,246.3,250.45,898208,2249.57,16867,334487,37.24
CSLFINANCE, EQ,2022-12-22,232.0,230.05,235.9,208.2,232.7,232.05,221.82,19683,43.66,828,11773,59.81
CTE, EQ,2022-12-22,57.2,58.1,58.1,54.25,54.6,54.75,55.39,23864,13.22,532,12087,50.65
CUB, EQ,2022-12-22,177.25,179.0,181.15,175.25,175.95,176.3,177.57,3802897,6752.83,33242,1019711,26.81
CUBEXTUB, EQ,2022-12-22,36.25,37.3,37.3,33.05,33.85,33.85,34.2,101892,34.84,1189,52657,51.68
CUMMINSIND, EQ,2022-12-22,1455.0,1467.25,1475.05,1427.05,1453.6,1450.15,1444.79,599231,8657.61,38221,253531,42.31
CUPID, EQ,2022-12-22,242.6,244.0,253.55,235.6,247.8,246.85,247.39,145685,360.42,4065,99313,68.17
CYBERMEDIA, EQ,2022-12-22,17.7,17.3,18.4,15.95,16.1,16.0,16.51,63489,10.48,355,39968,62.95
CYBERTECH, EQ,2022-12-22,131.7,131.3,133.7,127.55,129.5,129.05,129.32,55940,72.34,1520,26819,47.94
CYIENT, EQ,2022-12-22,819.35,823.0,823.3,805.6,815.0,814.95,811.35,80197,650.68,10488,36056,44.96
DAAWAT, EQ,2022-12-22,117.3,118.0,119.35,112.3,113.9,113.8,114.44,1680006,1922.61,13969,527279,31.39
DABUR, EQ,2022-12-22,577.25,577.4,583.1,574.45,578.0,577.75,577.85,818353,4728.86,24463,395609,48.34
DALBHARAT, EQ,2022-12-22,1852.3,1855.0,1869.05,1828.15,1853.0,1858.05,1848.93,156565,2894.77,10238,43309,27.66
DALMIASUG, EQ,2022-12-22,383.6,387.4,393.0,366.95,377.95,374.35,376.04,290758,1093.37,12343,70641,24.3
DAMODARIND, EQ,2022-12-22,52.7,51.25,52.8,49.0,50.5,50.9,50.83,31405,15.96,614,18378,58.52
DANGEE, EQ,2022-12-22,18.1,18.15,18.6,17.7,17.75,17.75,17.77,962784,171.12,1015,915375,95.08
DATAMATICS, EQ,2022-12-22,297.35,299.05,302.05,274.5,281.7,281.6,282.42,216652,611.87,9910,107943,49.82
DATAPATTNS, EQ,2022-12-22,1164.5,1170.65,1201.45,1098.8,1098.9,1121.3,1145.2,194664,2229.29,16135,78622,40.39
DBCORP, EQ,2022-12-22,118.6,119.15,123.8,116.05,118.7,118.8,119.58,538201,643.57,7067,263767,49.01
DBL, EQ,2022-12-22,226.8,227.5,230.4,219.3,221.35,222.85,223.32,305841,683.0,7585,114421,37.41
DBOL, EQ,2022-12-22,198.45,199.95,204.3,191.0,199.35,197.85,197.09,268077,528.36,8392,101346,37.8
DBREALTY, EQ,2022-12-22,96.2,96.5,97.9,91.4,91.4,91.5,92.56,510928,472.91,3533,253429,49.6
DBSTOCKBRO, EQ,2022-12-22,24.15,24.2,24.75,22.05,23.0,22.95,22.89,16069,3.68,191,7537,46.9
DCAL, EQ,2022-12-22,90.2,92.8,92.85,86.3,86.8,86.65,87.99,592244,521.11,6789,303400,51.23
DCBBANK, EQ,2022-12-22,122.15,123.7,125.9,116.4,118.1,118.5,119.54,2306027,2756.67,19120,767612,33.29
DCI, BE,2022-12-22,130.35,134.8,134.8,123.85,125.0,125.0,127.85,2322,2.97,77,None,None
DCM, EQ,2022-12-22,85.0,86.0,86.0,80.75,80.8,81.05,81.26,43138,35.05,478,30223,70.06
DCMFINSERV, EQ,2022-12-22,6.2,6.15,6.2,5.95,6.0,6.0,6.11,14720,0.9,125,12119,82.33
DCMNVL, EQ,2022-12-22,155.05,154.2,159.0,150.0,155.8,154.45,154.0,32137,49.49,957,20095,62.53
DCMSHRIRAM, EQ,2022-12-22,879.45,879.05,882.5,860.95,873.05,874.3,871.97,30170,263.07,2883,15624,51.79
DCMSRIND, EQ,2022-12-22,76.35,76.2,77.4,71.8,72.5,72.5,73.75,172043,126.88,2556,85753,49.84
DCW, EQ,2022-12-22,48.0,48.25,48.65,45.55,46.9,46.8,46.68,1534325,716.2,8018,686816,44.76
DCXINDIA, EQ,2022-12-22,230.1,230.5,234.5,210.55,216.5,215.0,215.63,656386,1415.35,24482,269256,41.02
DECCANCE, EQ,2022-12-22,505.25,514.4,514.4,487.5,493.0,491.55,493.05,10310,50.83,875,5614,54.45
DEEPAKFERT, EQ,2022-12-22,706.75,706.75,718.7,635.0,661.0,663.35,661.09,3217124,21268.1,81922,853841,26.54
DEEPAKNTR, EQ,2022-12-22,2049.2,2049.2,2068.65,2000.0,2012.0,2012.4,2020.94,362995,7335.91,25403,137540,37.89
DEEPENR, EQ,2022-12-22,127.9,128.05,128.05,121.55,121.55,121.7,123.05,30154,37.1,677,20564,68.2
